cross type: one | select type: rul | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0741326
cross type: one | select type: turney | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.0567899
cross type: two | select type: rul | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.0541509
cross type: two | select type: turney | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.0342654
cross type: one | select type: rul | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0493286
cross type: one | select type: turney | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0507575
cross type: two | select type: rul | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0413693
cross type: two | select type: turney | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0617315
cross type: one | select type: rul | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.0867177
cross type: one | select type: turney | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.0490196
cross type: two | select type: rul | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.078679
cross type: two | select type: turney | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.0564075
cross type: one | select type: rul | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.178694
cross type: one | select type: turney | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.0938649
cross type: two | select type: rul | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.061194
cross type: two | select type: turney | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.0454413
cross type: one | select type: rul | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.0925273
cross type: one | select type: turney | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.0741694
cross type: two | select type: rul | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.113284
cross type: two | select type: turney | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.0497263
cross type: one | select type: rul | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.101638
cross type: one | select type: turney | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.0539997
cross type: two | select type: rul | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.139838
cross type: two | select type: turney | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.0913643
cross type: one | select type: rul | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.134558
cross type: one | select type: turney | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.0626462
cross type: two | select type: rul | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.133418
cross type: two | select type: turney | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.0593031
cross type: one | select type: rul | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.11305
cross type: one | select type: turney | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.0711811
cross type: two | select type: rul | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.196541
cross type: two | select type: turney | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.06473
cross type: one | select type: rul | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.0976616
cross type: one | select type: turney | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.128105
cross type: two | select type: rul | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.177656
cross type: two | select type: turney | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.0561472
cross type: one | select type: rul | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0353638
cross type: one | select type: turney | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0375788
cross type: two | select type: rul | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0532875
cross type: two | select type: turney | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0467759
cross type: one | select type: rul | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.04085
cross type: one | select type: turney | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0328404
cross type: two | select type: rul | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0476407
cross type: two | select type: turney | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0337176
cross type: one | select type: rul | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0462744
cross type: one | select type: turney | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0598668
cross type: two | select type: rul | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0860659
cross type: two | select type: turney | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0524151
cross type: one | select type: rul | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.0803231
cross type: one | select type: turney | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.0637541
cross type: two | select type: rul | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.11011
cross type: two | select type: turney | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.0431918
cross type: one | select type: rul | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0734923
cross type: one | select type: turney | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0422036
cross type: two | select type: rul | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0891436
cross type: two | select type: turney | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0460522
cross type: one | select type: rul | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.113506
cross type: one | select type: turney | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0432969
cross type: two | select type: rul | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0831157
cross type: two | select type: turney | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0555556
cross type: one | select type: rul | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.119228
cross type: one | select type: turney | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.0954881
cross type: two | select type: rul | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.179007
cross type: two | select type: turney | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.0865399
cross type: one | select type: rul | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.182929
cross type: one | select type: turney | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.0640417
cross type: two | select type: rul | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.143241
cross type: two | select type: turney | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.0440553
cross type: one | select type: rul | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.162364
cross type: one | select type: turney | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.0762851
cross type: two | select type: rul | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.170928
cross type: two | select type: turney | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.140562
cross type: one | select type: rul | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.137751
cross type: one | select type: turney | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.0708392
cross type: two | select type: rul | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.123263
cross type: two | select type: turney | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.120318
cross type: one | select type: rul | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.0433394
cross type: one | select type: turney | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.0535044
cross type: two | select type: rul | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.0312688
cross type: two | select type: turney | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.0311704
cross type: one | select type: rul | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.0407196
cross type: one | select type: turney | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.0639855
cross type: two | select type: rul | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.0891556
cross type: two | select type: turney | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.0747462
cross type: one | select type: rul | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.0987794
cross type: one | select type: turney | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.0462347
cross type: two | select type: rul | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.102205
cross type: two | select type: turney | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.0623724
cross type: one | select type: rul | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.0756706
cross type: one | select type: turney | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.0806924
cross type: two | select type: rul | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.0685196
cross type: two | select type: turney | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.0572876
cross type: one | select type: rul | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.065651
cross type: one | select type: turney | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.0507819
cross type: two | select type: rul | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.0604463
cross type: two | select type: turney | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.052737
cross type: one | select type: rul | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.165746
cross type: one | select type: turney | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.0883268
cross type: two | select type: rul | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.0610599
cross type: two | select type: turney | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.0511001
cross type: one | select type: rul | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.0695247
cross type: one | select type: turney | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.0962856
cross type: two | select type: rul | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.0843898
cross type: two | select type: turney | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.067509
cross type: one | select type: rul | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.123038
cross type: one | select type: turney | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.0798124
cross type: two | select type: rul | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.0780489
cross type: two | select type: turney | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.103527
cross type: one | select type: rul | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.252626
cross type: one | select type: turney | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.11655
cross type: two | select type: rul | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.156094
cross type: two | select type: turney | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.0581576
cross type: one | select type: rul | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.178518
cross type: one | select type: turney | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.0788721
cross type: two | select type: rul | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.0998385
cross type: two | select type: turney | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.0779242
cross type: one | select type: rul | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0553547
cross type: one | select type: turney | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0731934
cross type: two | select type: rul | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0566877
cross type: two | select type: turney | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0588137
cross type: one | select type: rul | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.0606847
cross type: one | select type: turney | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.0416108
cross type: two | select type: rul | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.070056
cross type: two | select type: turney | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.0438539
cross type: one | select type: rul | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.0494522
cross type: one | select type: turney | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.0526704
cross type: two | select type: rul | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.0400498
cross type: two | select type: turney | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.103347
cross type: one | select type: rul | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.211603
cross type: one | select type: turney | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.133019
cross type: two | select type: rul | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.202525
cross type: two | select type: turney | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.140066
cross type: one | select type: rul | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.176828
cross type: one | select type: turney | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.0825767
cross type: two | select type: rul | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.128848
cross type: two | select type: turney | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.0614563
cross type: one | select type: rul | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.131057
cross type: one | select type: turney | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.0636992
cross type: two | select type: rul | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.383713
cross type: two | select type: turney | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.0771122
cross type: one | select type: rul | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.117512
cross type: one | select type: turney | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.0860828
cross type: two | select type: rul | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.164268
cross type: two | select type: turney | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.0603441
cross type: one | select type: rul | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.377344
cross type: one | select type: turney | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.110824
cross type: two | select type: rul | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.304253
cross type: two | select type: turney | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.0952728
cross type: one | select type: rul | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.260139
cross type: one | select type: turney | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.0516915
cross type: two | select type: rul | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.130017
cross type: two | select type: turney | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.0970912
cross type: one | select type: rul | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.159915
cross type: one | select type: turney | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.0930135
cross type: two | select type: rul | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.465235
cross type: two | select type: turney | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.3428
cross type: one | select type: rul | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.142265
cross type: one | select type: turney | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.288394
cross type: two | select type: rul | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.151271
cross type: two | select type: turney | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.219682
cross type: one | select type: rul | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.130372
cross type: one | select type: turney | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.0583207
cross type: two | select type: rul | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.315088
cross type: two | select type: turney | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.100077
cross type: one | select type: rul | mutation probability: 50% | cross probability: 20% | population size: 25 | time: 0.192843
cross type: one | select type: turney | mutation probability: 50% | cross probability: 20% | population size: 25 | time: 0.186243
cross type: two | select type: rul | mutation probability: 50% | cross probability: 20% | population size: 25 | time: 0.210627
cross type: two | select type: turney | mutation probability: 50% | cross probability: 20% | population size: 25 | time: 0.0824733
cross type: one | select type: rul | mutation probability: 50% | cross probability: 30% | population size: 25 | time: 0.105804
cross type: one | select type: turney | mutation probability: 50% | cross probability: 30% | population size: 25 | time: 0.227196
cross type: two | select type: rul | mutation probability: 50% | cross probability: 30% | population size: 25 | time: 0.0879722
cross type: two | select type: turney | mutation probability: 50% | cross probability: 30% | population size: 25 | time: 0.0594555
cross type: one | select type: rul | mutation probability: 50% | cross probability: 40% | population size: 25 | time: 0.111312
cross type: one | select type: turney | mutation probability: 50% | cross probability: 40% | population size: 25 | time: 0.137104
cross type: two | select type: rul | mutation probability: 50% | cross probability: 40% | population size: 25 | time: 0.301597
cross type: two | select type: turney | mutation probability: 50% | cross probability: 40% | population size: 25 | time: 0.120337
cross type: one | select type: rul | mutation probability: 50% | cross probability: 50% | population size: 25 | time: 0.224271
cross type: one | select type: turney | mutation probability: 50% | cross probability: 50% | population size: 25 | time: 0.165496
cross type: two | select type: rul | mutation probability: 50% | cross probability: 50% | population size: 25 | time: 0.213144
cross type: two | select type: turney | mutation probability: 50% | cross probability: 50% | population size: 25 | time: 0.135239
cross type: one | select type: rul | mutation probability: 50% | cross probability: 60% | population size: 25 | time: 0.189269
cross type: one | select type: turney | mutation probability: 50% | cross probability: 60% | population size: 25 | time: 0.191921
cross type: two | select type: rul | mutation probability: 50% | cross probability: 60% | population size: 25 | time: 0.202487
cross type: two | select type: turney | mutation probability: 50% | cross probability: 60% | population size: 25 | time: 0.0926808
cross type: one | select type: rul | mutation probability: 50% | cross probability: 70% | population size: 25 | time: 0.278063
cross type: one | select type: turney | mutation probability: 50% | cross probability: 70% | population size: 25 | time: 0.0975431
cross type: two | select type: rul | mutation probability: 50% | cross probability: 70% | population size: 25 | time: 0.260073
cross type: two | select type: turney | mutation probability: 50% | cross probability: 70% | population size: 25 | time: 0.229928
cross type: one | select type: rul | mutation probability: 50% | cross probability: 80% | population size: 25 | time: 0.409061
cross type: one | select type: turney | mutation probability: 50% | cross probability: 80% | population size: 25 | time: 0.392358
cross type: two | select type: rul | mutation probability: 50% | cross probability: 80% | population size: 25 | time: 0.198662
cross type: two | select type: turney | mutation probability: 50% | cross probability: 80% | population size: 25 | time: 0.259529
cross type: one | select type: rul | mutation probability: 50% | cross probability: 90% | population size: 25 | time: 0.276795
cross type: one | select type: turney | mutation probability: 50% | cross probability: 90% | population size: 25 | time: 0.0960618
cross type: two | select type: rul | mutation probability: 50% | cross probability: 90% | population size: 25 | time: 0.282168
cross type: two | select type: turney | mutation probability: 50% | cross probability: 90% | population size: 25 | time: 0.140455
cross type: one | select type: rul | mutation probability: 60% | cross probability: 0% | population size: 25 | time: 0.115604
cross type: one | select type: turney | mutation probability: 60% | cross probability: 0% | population size: 25 | time: 0.144727
cross type: two | select type: rul | mutation probability: 60% | cross probability: 0% | population size: 25 | time: 0.0753093
cross type: two | select type: turney | mutation probability: 60% | cross probability: 0% | population size: 25 | time: 0.0468564
cross type: one | select type: rul | mutation probability: 60% | cross probability: 10% | population size: 25 | time: 0.0583442
cross type: one | select type: turney | mutation probability: 60% | cross probability: 10% | population size: 25 | time: 0.0923739
cross type: two | select type: rul | mutation probability: 60% | cross probability: 10% | population size: 25 | time: 0.0828608
cross type: two | select type: turney | mutation probability: 60% | cross probability: 10% | population size: 25 | time: 0.0957935
cross type: one | select type: rul | mutation probability: 60% | cross probability: 20% | population size: 25 | time: 0.0837691
cross type: one | select type: turney | mutation probability: 60% | cross probability: 20% | population size: 25 | time: 0.240066
cross type: two | select type: rul | mutation probability: 60% | cross probability: 20% | population size: 25 | time: 0.155001
cross type: two | select type: turney | mutation probability: 60% | cross probability: 20% | population size: 25 | time: 0.139596
cross type: one | select type: rul | mutation probability: 60% | cross probability: 30% | population size: 25 | time: 0.421958
cross type: one | select type: turney | mutation probability: 60% | cross probability: 30% | population size: 25 | time: 0.165318
cross type: two | select type: rul | mutation probability: 60% | cross probability: 30% | population size: 25 | time: 0.120953
cross type: two | select type: turney | mutation probability: 60% | cross probability: 30% | population size: 25 | time: 0.0720846
cross type: one | select type: rul | mutation probability: 60% | cross probability: 40% | population size: 25 | time: 0.0519574
cross type: one | select type: turney | mutation probability: 60% | cross probability: 40% | population size: 25 | time: 0.0636519
cross type: two | select type: rul | mutation probability: 60% | cross probability: 40% | population size: 25 | time: 0.0991952
cross type: two | select type: turney | mutation probability: 60% | cross probability: 40% | population size: 25 | time: 0.102211
cross type: one | select type: rul | mutation probability: 60% | cross probability: 50% | population size: 25 | time: 0.200807
cross type: one | select type: turney | mutation probability: 60% | cross probability: 50% | population size: 25 | time: 0.0797862
cross type: two | select type: rul | mutation probability: 60% | cross probability: 50% | population size: 25 | time: 0.0817885
cross type: two | select type: turney | mutation probability: 60% | cross probability: 50% | population size: 25 | time: 0.0680962
cross type: one | select type: rul | mutation probability: 60% | cross probability: 60% | population size: 25 | time: 0.161346
cross type: one | select type: turney | mutation probability: 60% | cross probability: 60% | population size: 25 | time: 0.0565236
cross type: two | select type: rul | mutation probability: 60% | cross probability: 60% | population size: 25 | time: 0.0718456
cross type: two | select type: turney | mutation probability: 60% | cross probability: 60% | population size: 25 | time: 0.0687646
cross type: one | select type: rul | mutation probability: 60% | cross probability: 70% | population size: 25 | time: 0.251362
cross type: one | select type: turney | mutation probability: 60% | cross probability: 70% | population size: 25 | time: 0.0976512
cross type: two | select type: rul | mutation probability: 60% | cross probability: 70% | population size: 25 | time: 0.121249
cross type: two | select type: turney | mutation probability: 60% | cross probability: 70% | population size: 25 | time: 0.119474
cross type: one | select type: rul | mutation probability: 60% | cross probability: 80% | population size: 25 | time: 0.118221
cross type: one | select type: turney | mutation probability: 60% | cross probability: 80% | population size: 25 | time: 0.0841878
cross type: two | select type: rul | mutation probability: 60% | cross probability: 80% | population size: 25 | time: 0.183753
cross type: two | select type: turney | mutation probability: 60% | cross probability: 80% | population size: 25 | time: 0.0579011
cross type: one | select type: rul | mutation probability: 60% | cross probability: 90% | population size: 25 | time: 0.111627
cross type: one | select type: turney | mutation probability: 60% | cross probability: 90% | population size: 25 | time: 0.108873
cross type: two | select type: rul | mutation probability: 60% | cross probability: 90% | population size: 25 | time: 0.271885
cross type: two | select type: turney | mutation probability: 60% | cross probability: 90% | population size: 25 | time: 0.137928
cross type: one | select type: rul | mutation probability: 70% | cross probability: 0% | population size: 25 | time: 0.0968114
cross type: one | select type: turney | mutation probability: 70% | cross probability: 0% | population size: 25 | time: 0.0532683
cross type: two | select type: rul | mutation probability: 70% | cross probability: 0% | population size: 25 | time: 0.0392071
cross type: two | select type: turney | mutation probability: 70% | cross probability: 0% | population size: 25 | time: 0.0630125
cross type: one | select type: rul | mutation probability: 70% | cross probability: 10% | population size: 25 | time: 0.0919203
cross type: one | select type: turney | mutation probability: 70% | cross probability: 10% | population size: 25 | time: 0.149954
cross type: two | select type: rul | mutation probability: 70% | cross probability: 10% | population size: 25 | time: 0.136644
cross type: two | select type: turney | mutation probability: 70% | cross probability: 10% | population size: 25 | time: 0.114974
cross type: one | select type: rul | mutation probability: 70% | cross probability: 20% | population size: 25 | time: 0.197746
cross type: one | select type: turney | mutation probability: 70% | cross probability: 20% | population size: 25 | time: 0.0776827
cross type: two | select type: rul | mutation probability: 70% | cross probability: 20% | population size: 25 | time: 0.144927
cross type: two | select type: turney | mutation probability: 70% | cross probability: 20% | population size: 25 | time: 0.112622
cross type: one | select type: rul | mutation probability: 70% | cross probability: 30% | population size: 25 | time: 0.0516521
cross type: one | select type: turney | mutation probability: 70% | cross probability: 30% | population size: 25 | time: 0.0508024
cross type: two | select type: rul | mutation probability: 70% | cross probability: 30% | population size: 25 | time: 0.0796204
cross type: two | select type: turney | mutation probability: 70% | cross probability: 30% | population size: 25 | time: 0.0936161
cross type: one | select type: rul | mutation probability: 70% | cross probability: 40% | population size: 25 | time: 0.11539
cross type: one | select type: turney | mutation probability: 70% | cross probability: 40% | population size: 25 | time: 0.0858881
cross type: two | select type: rul | mutation probability: 70% | cross probability: 40% | population size: 25 | time: 0.0849692
